ORIG_FID,SIA2024BuildingType,BuildingAge,GlazingRatio
1,MFH,1965,13
2,MFH,1918,31
3,MFH,1928,35
4,MFH,2007,45
5,MFH,1970,30
6,MFH,1941,36
7,MFH,1918,35
8,MFH,1905,19
9,MFH,1903,52
10,MFH,1924,11
11,MFH,1991,25
12,MFH,1986,40
13,MFH,2004,55
14,MFH,1972,16
15,MFH,1957,30
16,MFH,1927,52
17,MFH,2003,57
18,MFH,1918,27
19,MFH,2002,48
20,MFH,1932,21
21,MFH,1953,57
22,MFH,1956,21
23,MFH,1956,45
24,MFH,1906,37
25,MFH,1914,13
26,MFH,2003,22
27,MFH,1980,14
28,MFH,1952,19
29,MFH,1912,15
30,MFH,1958,14
31,MFH,1909,32
32,MFH,1985,29
33,MFH,2008,22
34,MFH,1900,48
35,MFH,1912,19
36,MFH,1985,24
37,MFH,1946,20
38,MFH,1927,47
39,MFH,2008,54
40,MFH,1904,54
41,MFH,1945,29
42,MFH,1963,46
43,MFH,2011,45
44,MFH,1909,59
45,MFH,1957,24
46,MFH,1926,24
47,MFH,1961,34
48,MFH,1982,54
49,MFH,1973,39
50,MFH,1951,28
51,MFH,1974,37
52,MFH,1998,12
53,MFH,1945,18
54,MFH,2005,54
55,MFH,1921,44
56,MFH,1902,49
57,MFH,2014,52
58,MFH,1914,58
59,MFH,2003,56
60,MFH,1964,10
61,MFH,1965,55
62,MFH,2000,18
63,MFH,1960,21
64,MFH,1915,29
65,MFH,1971,17
66,MFH,1920,20
67,MFH,1907,19
68,MFH,2008,28
69,MFH,1921,12
70,MFH,1912,55
71,MFH,1946,28
72,MFH,2016,30
73,MFH,1964,10
74,MFH,1902,46
75,MFH,1910,58
76,MFH,1998,11
77,MFH,2018,11
78,MFH,1983,26
79,MFH,1939,52
80,MFH,2007,50
81,MFH,1992,47
82,MFH,2008,45
83,MFH,1944,26
84,MFH,1928,18
85,MFH,1904,13
86,MFH,1997,21
87,MFH,2008,59
88,MFH,1958,48
89,MFH,1994,37
90,MFH,1906,37
91,MFH,1953,21
92,MFH,1957,37
93,MFH,1942,39
94,MFH,1967,12
95,MFH,1957,54
96,MFH,1917,28
97,MFH,1936,32
98,MFH,1928,29
99,MFH,1935,46
100,MFH,1947,13
101,MFH,1989,36
102,MFH,2011,43
103,MFH,1938,15
104,MFH,1997,33
105,MFH,1922,25
106,MFH,1959,10
107,MFH,1948,59
108,MFH,1941,49
109,MFH,1911,32
110,MFH,1913,59
111,MFH,1976,39
112,MFH,1969,12
113,MFH,1970,16
114,MFH,1964,59
115,MFH,1905,11
116,MFH,1927,58
117,MFH,1913,32
118,MFH,1957,38
119,MFH,1980,50
120,MFH,1974,23
121,MFH,1936,34
122,MFH,1995,40
123,MFH,1908,26
124,MFH,1998,25
125,MFH,1988,35
126,MFH,2012,30
127,MFH,1960,25
128,MFH,1978,14
129,MFH,1946,42
130,MFH,1965,43
131,MFH,1901,16
132,MFH,1973,10
133,MFH,1986,17
134,MFH,1969,34
135,MFH,2016,30
136,MFH,2011,41
137,MFH,1922,43
138,MFH,1928,36
139,MFH,1992,24
140,MFH,1945,54
141,MFH,1914,47
142,MFH,2009,47
143,MFH,1905,38
144,MFH,1979,52
145,MFH,1989,21
146,MFH,1943,34
147,MFH,2003,54
148,MFH,2003,36
149,MFH,2002,33
150,MFH,1916,26
151,MFH,1917,34
152,MFH,1935,47
153,MFH,1962,45
154,MFH,1948,15
155,MFH,1950,46
156,MFH,1985,40
157,MFH,1911,34
158,MFH,2001,14
159,MFH,1954,11
160,MFH,1976,10
161,MFH,1907,23
162,MFH,1965,51
163,MFH,1976,14
164,MFH,1945,58
165,MFH,1982,11
166,MFH,1956,29
167,MFH,1960,54
168,MFH,2007,11
169,MFH,1992,18
170,MFH,1998,45
171,MFH,1901,52
172,MFH,1924,19
173,MFH,1966,30
174,MFH,1903,43
175,MFH,1985,57
176,MFH,1949,49
177,MFH,1970,58
178,MFH,1970,38
179,MFH,1924,10
180,MFH,1983,30
181,MFH,1948,22
182,MFH,1984,33
183,MFH,1979,10
184,MFH,1925,13
185,MFH,1938,15
186,MFH,1965,28
187,MFH,1928,36
188,MFH,2001,53
189,MFH,1997,13
190,MFH,1937,55
191,MFH,1958,50
192,MFH,1972,29
193,MFH,1967,36
194,MFH,1933,51
195,MFH,1940,19
196,MFH,1971,21
197,MFH,1900,54
198,MFH,1961,49
199,MFH,1911,14
200,MFH,1993,57
201,MFH,1916,33
202,MFH,2005,42
203,MFH,1978,32
204,MFH,1991,38
205,MFH,1906,56
206,MFH,1908,12
207,MFH,2000,56
208,MFH,1961,24
209,MFH,1965,50
210,MFH,1910,54
211,MFH,1952,22
212,MFH,1926,26
213,MFH,1901,30
214,MFH,1956,42
215,MFH,1904,37
216,MFH,1971,16
217,MFH,1956,11
218,MFH,1935,14
219,MFH,1907,30
220,MFH,1957,50
221,MFH,1960,17
222,MFH,1969,28
223,MFH,2010,46
224,MFH,2014,29
225,MFH,1931,47
226,MFH,1963,40
227,MFH,1955,29
228,MFH,1939,24
229,MFH,1909,13
230,MFH,1993,19
231,MFH,2000,13
232,MFH,1974,50
233,MFH,1949,16
234,MFH,1973,56
235,MFH,1974,16
236,MFH,1918,55
237,MFH,1908,39
238,MFH,1956,51
239,MFH,1988,19
240,MFH,1913,59
241,MFH,1984,40
242,MFH,1954,59
243,MFH,1981,11
244,MFH,1906,48
245,MFH,1997,57
246,MFH,1918,10
247,MFH,1908,41
248,MFH,1941,27
249,MFH,1915,17
250,MFH,1902,25
251,MFH,1944,26
252,MFH,1962,19
253,MFH,2000,40
254,MFH,1986,29
255,MFH,1915,47
256,MFH,1974,49
257,MFH,1902,18
258,MFH,2006,39
259,MFH,1964,51
260,MFH,1925,37
261,MFH,1932,10
262,MFH,1949,37
263,MFH,1905,39
264,MFH,1954,15
265,MFH,1938,49
266,MFH,1968,26
267,MFH,1957,34
268,MFH,1959,28
269,MFH,1928,25
270,MFH,1904,55
271,MFH,1924,45
272,MFH,1916,54
273,MFH,2013,56
274,MFH,1947,14
275,MFH,1976,32
276,MFH,1942,31
277,MFH,1957,52
278,MFH,1934,30
279,MFH,1947,41
280,MFH,1910,53
281,MFH,1954,18
282,MFH,1930,15
283,MFH,1989,55
284,MFH,1919,11
285,MFH,1994,40
286,MFH,2009,16
287,MFH,1993,28
288,MFH,1905,55
289,MFH,1980,43
290,MFH,1946,27
291,MFH,2013,13
292,MFH,1958,35
293,MFH,1921,18
294,MFH,1920,19
295,MFH,1915,41
296,MFH,1924,23
297,MFH,1917,57
298,MFH,1900,40
299,MFH,1918,57
300,MFH,1917,47
301,MFH,1926,25
302,MFH,1967,23
303,MFH,1977,23
304,MFH,1921,38
305,MFH,1934,26
306,MFH,1955,30
307,MFH,1967,42
308,MFH,1944,40
309,MFH,1958,30
310,MFH,1925,23
311,MFH,1948,58
312,MFH,1902,16
313,MFH,1905,21
314,MFH,2007,40
315,MFH,1981,41
316,MFH,1976,19
317,MFH,2005,48
318,MFH,2003,19
319,MFH,1965,59
320,MFH,2005,10
321,MFH,1910,56
322,MFH,1906,33
323,MFH,1986,14
324,MFH,1974,12
325,MFH,2011,17
326,MFH,1954,56
327,MFH,1965,57
328,MFH,1937,47
329,MFH,1974,40
330,MFH,1986,25
331,MFH,2001,29
332,MFH,1962,12
333,MFH,1989,10
334,MFH,1955,25
335,MFH,1951,39
336,MFH,1985,13
337,MFH,1925,12
338,MFH,1983,30
339,MFH,1966,51
340,MFH,2004,48
341,MFH,2012,10
342,MFH,1966,21
343,MFH,1929,55
344,MFH,1970,13
345,MFH,1938,54
346,MFH,1905,21
347,MFH,1928,39
348,MFH,1929,20
349,MFH,1926,52
350,MFH,1902,56
351,MFH,2004,27
352,MFH,2011,35
353,MFH,1910,17
354,MFH,2017,30
355,MFH,1990,40
